ETHUSDT|orderflow|short|TRAIL_SL|unknown|na|3|0.000|-0.224|-0.8177|0.00|0.05||910759
SOLUSDT|cryptoorderflow|short|TIMEOUT|us_main|na|3|0.333|-0.054|-0.8174|4.01|1.17|1.43|3612884
1000PEPEUSDT|orderflow|long|TIMEOUT|us_main|na|1|0.000|-0.148|-0.7402|2.93|0.27|0.43|3628833
SOLUSDT|orderflow|long|TIMEOUT|us_main|trending_bull|4|0.000|-0.158|-0.6330|4.29|1.18|1.85|3620904
BTCUSDT|orderflow|long|TIMEOUT|asian|trending_bear|2|0.000|-0.161|-0.5650|1.84|0.01|1.13|3603019
SOLUSDT|orderflow|long|TIMEOUT|overnight|range|4|0.000|-0.141|-0.5636|2.24|1.17|1.95|3624188
SOLUSDT|cryptoorderflow|long|TIMEOUT|overnight|na|5|0.400|0.119|-0.5571|3.76|1.17|1.47|3027887
SOLUSDT|orderflow|long|INITIAL_SL|overnight|trending_bull|2|0.000|-0.245|-0.4894|2.83|1.17|3.18|1836738
SOLUSDT|orderflow|long|INITIAL_SL|asian|trending_bear|3|0.000|-0.163|-0.4891|5.17|1.17|1.64|874807
SOLUSDT|orderflow|long|INITIAL_SL|overnight|range|2|0.000|-0.206|-0.4121|2.83|1.17|0.91|2588926
BTCUSDT|orderflow|short|TIMEOUT|overnight|trending_bear|1|0.000|-0.343|-0.3429|3.74|0.01|0.17|3607695
SOLUSDT|cryptoorderflow|short|INITIAL_SL|asian|na|13|0.000|-0.021|-0.2721|2.24|1.18|1.45|537553
SOLUSDT|orderflow|short|INITIAL_SL|asian|trending_bull|2|0.000|-0.134|-0.2685|5.17|1.17|1.21|595016
SOLUSDT|orderflow|short|INITIAL_SL|overnight|trending_bull|2|0.000|-0.130|-0.2610|4.00|1.17|0.95|2226480
SOLUSDT|orderflow|short|INITIAL_SL|overnight|trending_bear|1|0.000|-0.235|-0.2350|1.64|1.18|1.76|2577891
BTCUSDT|orderflow|short|TIMEOUT|us_main|na|30|0.533|-0.001|-0.1787|3.39|0.01|0.58|3617980
SOLUSDT|cryptoorderflow|short|INITIAL_SL|overnight|na|9|0.000|-0.019|-0.1666|2.96|1.17|1.08|2271614
SOLUSDT|orderflow|short|INITIAL_SL|us_main|trending_bear|1|0.000|-0.150|-0.1502|12.39|1.20|1.89|37939
SOLUSDT|orderflow|short|INITIAL_SL|overnight|expansion|1|0.000|-0.134|-0.1343|4.00|1.17|0.94|1597469
SOLUSDT|orderflow|long|TIMEOUT|overnight|trending_bull|3|0.333|-0.045|-0.1342|3.06|1.17|2.22|3615264
SOLUSDT|orderflow|short|TIMEOUT|overnight|na|24|0.458|-0.001|-0.0893|3.08|1.17|1.21|3584665
BTCUSDT|orderflow|short|TIMEOUT|asian|range|1|0.000|-0.041|-0.0781|2.21|0.01|0.38|3615181
SOLUSDT|orderflow|short|TIMEOUT|asian|range|2|0.000|-0.032|-0.0640|5.18|1.18|1.37|3625705
SOLUSDT|cryptoorderflow|short|INITIAL_SL|us_main|na|9|0.000|-0.003|-0.0299|2.67|1.17|1.40|725264
1000PEPEUSDT|orderflow|long|INITIAL_SL|asian|range|59|0.000|0.000|-0.0011|3.82|0.27|0.78|921286
1000PEPEUSDT|orderflow|long|INITIAL_SL|overnight|range|28|0.000|0.000|-0.0005|2.90|0.28|0.62|1254358
1000PEPEUSDT|orderflow|long|INITIAL_SL|european|range|26|0.000|0.000|-0.0004|4.95|0.27|0.82|885067
1000PEPEUSDT|orderflow|short|INITIAL_SL|overnight|range|27|0.000|0.000|-0.0004|3.63|0.27|0.87|1567094
1000PEPEUSDT|orderflow|long|INITIAL_SL|unknown|na|18|0.000|0.000|-0.0003|10.19|0.27||1215525
1000PEPEUSDT|orderflow|short|INITIAL_SL|overnight|trending_bear|20|0.000|0.000|-0.0003|3.01|0.27|0.77|967834
1000PEPEUSDT|orderflow|short|INITIAL_SL|us_main|range|13|0.000|0.000|-0.0003|3.76|0.27|0.65|842142
1000PEPEUSDT|orderflow|short|INITIAL_SL|asian|range|14|0.000|0.000|-0.0002|5.78|0.27|0.97|357745
1000PEPEUSDT|orderflow|long|INITIAL_SL|overnight|expansion|12|0.000|0.000|-0.0002|3.14|0.27|0.54|663861
1000PEPEUSDT|orderflow|short|INITIAL_SL|european|range|10|0.000|0.000|-0.0002|3.72|0.28|0.73|705023
1000PEPEUSDT|orderflow|long|INITIAL_SL|asian|trending_bear|11|0.000|0.000|-0.0002|5.49|0.32|1.12|578542
1000PEPEUSDT|orderflow|short|INITIAL_SL|asian|trending_bull|5|0.000|0.000|-0.0001|2.81|0.27|1.55|117742
1000PEPEUSDT|orderflow|long|TIMEOUT|us_main|range|10|0.200|0.000|-0.0001|3.52|0.27|0.69|3249517
1000PEPEUSDT|orderflow|short|INITIAL_SL|overnight|trending_bull|7|0.000|0.000|-0.0001|4.43|0.27|0.69|1217477
